time,outdoor_temp,solar_kw,indoor_temp
2025-12-17T17:00:00+00:00,60,1.0126,
2025-12-17T18:00:00+00:00,63,0.8742,
2025-12-17T19:00:00+00:00,64,1.5396,
2025-12-17T20:00:00+00:00,67,1.8702,
2025-12-17T21:00:00+00:00,68,1.4916,
2025-12-17T22:00:00+00:00,69,0.8990,
2025-12-17T23:00:00+00:00,67,0.3478,
2025-12-18T00:00:00+00:00,64,0.0715,
